Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4887,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,"Miller, Alice",Ruth Ward,"=""0465016901""","=""9780465016907""",0,4.07,Basic Books,Paperback,144,2008,1979,,2022/01/18,to-read,to-read (#253),to-read,,,,0,,,0,,,,,
120586,Solitude: A Return to the Self,Anthony Storr,"Storr, Anthony",,"=""0743280741""","=""9780743280747""",0,3.91,Free Press,Paperback,216,2005,1988,,2022/01/15,to-read,to-read (#252),to-read,,,,0,,,0,,,,,
906575,The Discovery of Freedom: Man's Struggle Against Authority,Rose Wilder Lane,"Lane, Rose Wilder",,"=""0930073002""","=""9780930073008""",0,4.13,Fox & Wilkes,Paperback,262,1993,1943,,2022/01/14,to-read,to-read (#251),to-read,,,,0,,,0,,,,,
549384,"The Intellectual Life: Its Spirit, Conditions, Methods",Antonin Sertillanges,"Sertillanges, Antonin",,"=""0813206464""","=""9780813206462""",0,4.40,Catholic University of America Press,Paperback,264,1992,1921,,2022/01/14,to-read,to-read (#250),to-read,,,,0,,,0,,,,,
36844264,Gift of Injury: The Strength Athlete’s Guide to Recovering from Back Injury to Winning Again,Stuart McGill,"McGill, Stuart",Brian Carroll,"=""0973501863""","=""9780973501865""",0,4.23,Backfitpro Inc.,Paperback,159,2018,,,2022/01/13,to-read,to-read (#249),to-read,,,,0,,,0,,,,,
4451,People of the Lie: The Hope for Healing Human Evil,M. Scott Peck,"Peck, M. Scott",,"=""0684848597""","=""9780684848594""",0,3.98,Touchstone,Paperback,272,1998,1983,,2022/01/11,to-read,to-read (#248),to-read,,,,0,,,0,,,,,
542700,Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror,Judith Lewis Herman,"Herman, Judith Lewis",,"=""0465087302""","=""9780465087303""",0,4.36,Basic Books,Paperback,247,1997,1992,,2022/01/11,to-read,to-read (#247),to-read,,,,0,,,0,,,,,
125787,The Roots of Evil,John Kekes,"Kekes, John",,"=""0801473810""","=""9780801473814""",0,4.12,Cornell University Press,Paperback,278,2010,2005,,2022/01/10,to-read,to-read (#246),to-read,,,,0,,,0,,,,,
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.28,Basic Books,Paperback,756,1999,1979,,2022/01/08,to-read,to-read (#245),to-read,,,,0,,,0,,,,,
31093,"Lila: An Inquiry Into Morals (Phaedrus, #2)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0553299611""","=""9780553299618""",0,3.81,Bantam,Paperback,480,1992,1991,,2022/01/07,to-read,to-read (#244),to-read,,,,0,,,0,,,,,
22571552,So You've Been Publicly Shamed,Jon Ronson,"Ronson, Jon",,"=""1594487138""","=""9781594487132""",0,3.93,Riverhead Books,Hardcover,290,2015,2015,,2022/01/03,to-read,to-read (#243),to-read,,,,0,,,0,,,,,
53340622,The Fifth Vital,Mike Majlak,"Majlak, Mike",Riley J. Ford,"=""""","=""9798639873775""",5,4.37, Independently published ,Paperback,308,2020,,,2021/12/28,,,read,,,,1,,,0,,,,,
12382651,The Man Without a Face: The Unlikely Rise of Vladimir Putin,Masha Gessen,"Gessen, Masha",,"=""1594488428""","=""9781594488429""",0,3.76,Riverhead Books,Hardcover,314,2012,2010,,2021/12/22,to-read,to-read (#242),to-read,,,,0,,,0,,,,,
8728554,The Fear: Robert Mugabe and the Martyrdom of Zimbabwe,Peter Godwin,"Godwin, Peter",,"=""031605173X""","=""9780316051736""",0,4.07,"Little, Brown and Company",Hardcover,384,2011,2010,,2021/12/22,to-read,to-read (#241),to-read,,,,0,,,0,,,,,
189989,Finite and Infinite Games: A Vision of Life as Play and Possibility,James P. Carse,"Carse, James P.",,"=""0345341848""","=""9780345341846""",0,3.85,Ballantine Books,Mass Market Paperback,192,1987,1986,,2021/12/17,to-read,to-read (#239),to-read,,,,0,,,0,,,,,
695440,The Tree of Knowledge: The Biological Roots of Human Understanding,Humberto R. Maturana,"Maturana, Humberto R.",Francisco J. Varela,"=""0877736421""","=""9780877736424""",0,4.19,Shambhala,Paperback,269,1992,1984,,2021/12/14,to-read,to-read (#238),to-read,,,,0,,,0,,,,,
43805741,Daylight Robbery: How Tax Shaped Our Past and Will Change Our Future,Dominic Frisby,"Frisby, Dominic",,"=""0241360862""","=""9780241360866""",0,4.32,Portfolio Penguin,Hardcover,288,2019,,,2021/12/11,to-read,to-read (#237),to-read,,,,0,,,0,,,,,
39026990,How to Invent Everything: A Survival Guide for the Stranded Time Traveler,Ryan North,"North, Ryan",,"=""073522014X""","=""9780735220140""",0,4.14,Riverhead Books,Hardcover,437,2018,2018,,2021/12/08,to-read,to-read (#236),to-read,,,,0,,,0,,,,,
18114087,The Knowledge: How to Rebuild Our World from Scratch,Lewis Dartnell,"Dartnell, Lewis",,"=""159420523X""","=""9781594205231""",0,3.76,Penguin Books,Hardcover,340,2014,2014,,2021/12/08,to-read,to-read (#235),to-read,,,,0,,,0,,,,,
113934,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",Jeff Cox,"=""0884271781""","=""9780884271789""",0,4.07,North River Press,Paperback,384,2004,1984,,2021/12/08,to-read,to-read (#234),to-read,,,,0,,,0,,,,,
875366,Factory Physics ,Wallace J. Hopp,"Hopp, Wallace J.",Mark L. Spearman,"=""0256247951""","=""9780256247954""",0,4.29,Irwin/McGraw-Hill,Hardcover,,2000,1995,,2021/12/08,to-read,to-read (#233),to-read,,,,0,,,0,,,,,
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",0,4.01,Broadway Books,Kindle Edition,352,2005,2004,,2021/12/07,to-read,to-read (#232),to-read,,,,0,,,0,,,,,
20186,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,James C. Scott,"Scott, James C.",,"=""0300078153""","=""9780300078152""",0,4.21,Yale University Press,Paperback,445,1998,1998,,2021/11/30,to-read,to-read (#231),to-read,,,,0,,,0,,,,,
1440812,A Conflict of Visions,Thomas Sowell,"Sowell, Thomas",,"=""0688069126""","=""9780688069124""",0,4.32,William Morrow & Company,Hardcover,273,1987,1986,,2021/11/30,to-read,to-read (#230),to-read,,,,0,,,0,,,,,
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Haidt, Jonathan",,"=""""","=""""",0,4.21,Pantheon,Hardcover,419,2012,2012,,2021/11/28,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
16144499,Designing Games,Tynan Sylvester,"Sylvester, Tynan",,"=""1449337937""","=""9781449337933""",0,4.41,O'Reilly Media,Paperback,416,2013,2013,,2021/11/24,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
52668196,"Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,"Headlee, Celeste",,"=""1984824732""","=""9781984824738""",0,3.92,Harmony,Hardcover,288,2020,2020,,2021/11/22,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
